timestamp,Pitch,Roll,Yaw
0,-29.74,2.04,-2.83
1,-29.83,2.05,-2.76
2,-29.81,2.28,-2.79
3,-30.15,2.1,-2.89
4,-29.94,2.62,-2.89
5,-30.25,2.41,-3.02
6,-29.36,1.88,-3.01
7,-29.98,1.99,-2.78
8,-29.98,2.3,-2.82
9,-30.11,1.94,-2.89
10,-30.49,2.23,-2.76
11,-29.61,1.86,-2.92
12,-30.12,2.29,-2.74
13,-30.21,1.32,-2.92
14,-29.71,2.2,-2.94
15,-29.86,-4.28,-7.22
16,-14,4.1,-2.89
17,-8,4,-2.89
18,-16.6,5,-3.02
19,-18.4,4.6,-3.01
20,-20.98,4.2,-2.78
21,-24.76,4.28,-2.82
22,-29.36,1.88,-3.01
23,-29.98,1.99,-2.78
24,-29.98,2.3,-2.82
25,-30.11,1.94,-2.89
26,-30.49,2.23,-2.76
27,-29.61,1.86,-2.92
28,-30.12,2.29,-2.74
29,-30.21,1.32,-2.92
30,-29.71,2.2,-2.94
31,-29.86,-4.28,-7.22
32,-29.86,-4.28,-7.22
